query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes
"Parapolystichum microsorum subsp. pentangulare (Colenso) Labiak, Sundue & R.C.Moran","Parapolystichum microsorum subsp. pentagulare (Colenso) Labiak, Sundue & R. C. Moran",synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Parapolystichum novoguineensis (Holttum) Sundue & Testo,Parapolystichum novoguineense (Holttum) Sundue & Testo,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
"Parapolystichum windsorensis (D.L.Jones & B.Gray) Labiak, Sundue & R.C.Moran","Parapolystichum windsorense (D. L. Jones & B. Gray) Labiak, Sundue & R. C. Moran",accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pecluma oranensis (de la Sota) de la Sota,Pecluma oranense (de la Sota) de la Sota,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pecluma ptilodon var. robusta (Fee) Lellinger,Pecluma ptilotos var. robusta (Fée) Lellinger,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pecluma ptilotos (Kunze) M.G.Price,Pecluma ptilota (Kunze) M. G. Price,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Physematium manchuriense (Hook.) Nakai,Physematium manchuriensis (Hook.) Nakai,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pleopeltis murorum (Hook.) A.R.Sm. & Tejero,Pleopeltis murora (Hook.) A. R. Sm. & Tejero,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pleopeltis polypodioides var. acicularis (Weath.) E.G.Andrews & Windham,Pleopeltis polypodioides var. aciculare (Weath.) E. G. Andrews & Windham,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polypodium wiesbaueri Sodiro,Polypodium wiesbaurii Sodiro,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum erosum Ching,Polystichum grande Ching,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum lilianiae,Polystichum liui Ching,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum obae Tagawa,Polystichum igaense Tagawa,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum obae Tagawa,Polystichum obai Tagawa,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum obae Tagawa,Polystichum rigens Tagawa,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum obae Tagawa,Polystichum kodamae Tagawa,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Polystichum obae Tagawa,Polystichum doianum Tagawa,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pseudocyclosorus tuberculifer (C.Chr.) Ching,Pseudocyclosorus tuberculiferus (C. Chr.) Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris assamica Fraser-Jenk.,Pteris andamanica Fraser-Jenk.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris cadieri H.Christ,Pteris radicans Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris parkeri,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris laevis Mett.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris alata Desv.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris alata Lam.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris ovata Desv.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris signata Merr.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris flava Merr.,Pteris livida Mett.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris inaequalis C.Presl,Pteris aequalis C. Presl,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris lydgatei (Baker) H.Christ,Pteris lidgatii (Baker) Christ,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris mcclurei Ching,Pteris maclurei Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris ottaria Bedd.,Pteris otaria Bedd.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris vittata 'nano',Pteris sagittata Cav.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pteris vittata 'nano',Pteris digitata Wall.,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pyrrosia martini (H.Christ) Ching,Pyrrosia martinii (Christ) Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pyrrosia matsudae (Hayata) Tagawa,Pyrrosia matsudai (Hayata) Tagawa,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Pyrrosia nummulariifolia (Sw.) Ching,Pyrrosia nummularifolia (Sw.) Ching,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Sadleria souleytiana (Gaudich.) T.Moore,Sadleria souleyetiana (Gaudich.) T. Moore,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
