query,matched_name,matched_status,query_match_taxon_agree,dist,use_query_as_synonym,use_query_as_accepted,use_query_as_new,taxonomicStatus,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Adiantum princeps T.Moore,Adiantum princeps Moore,synonym,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum reniforme var. sinense Y.X.Ling,Adiantum reniforme var. sinense Y. X. Lin,synonym,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum sericeum D.C.Eaton,Adiantum sericeum Eaton,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum silvaticum Tindale,Adiantum silvaticum Tind.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum tracyi C.C.Hall ex W.H.Wagner,Adiantum ×  tracyi C. C. Hall ex Wagner,accepted,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Adiantum viridimontanum C.A.Paris,Adiantum viridimontanum Paris,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Aglaomorpha hieronymi (Brause) Coepl.,Aglaomorpha hieronymi (Brause) Copel.,accepted,TRUE,1,1,0,0,NA,NA,NCBI,author variant,NA
Aglaomorpha parkinsonii (Baker) Parros & M.C.Roos,Aglaomorpha parkinsonii (Baker) Parris & M. C. Roos,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Alsophila colensoi Hook.f.,Alsophila colensoi Hook. fil.,accepted,TRUE,3,1,0,0,NA,NA,NCBI,author variant,NA
Alsophila imrayana (Hook.) D.S.Conant,Alsophila imrayana (Hook.) Conant,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Alsophila marcescens (N.A.Wakef.) R.M.Tryon,Alsophila ×  marcescens (N. A. Wakef.) R. M. Tryon,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
"Alsophila orientalis (Kunze) R.M.Tryon, q1970",Alsophila orientalis (Kunze) R. M. Tryon,accepted,TRUE,9,1,0,0,NA,NA,NCBI,author variant,NA
Amauropelta cheilanthoides (Kunze) A.Love & D.Love,Amauropelta cheilanthoides (Kunze) Á. & D. Löve,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
Amauropelta pilosula (Klotzsch & H.Karst. ex Mett.) Á.Löve & D.Löve,Amauropelta pilosula (Klotzsch & H. Karst. ex Mett.) Á. & D. Löve,accepted,TRUE,11,1,0,0,NA,NA,NCBI,author variant,NA
Anemia buniifolia (Gardner) T.Moore,Anemia buniifolia (Gardner) Moore,accepted,TRUE,2,1,0,0,NA,NA,NCBI,author variant,NA
Anemia collina Sm.,Anemia collina Raddi,accepted,TRUE,5,1,0,0,NA,NA,NCBI,author variant,NA
Anemia imbricata J.W.Sturm,Anemia imbricata Sturm,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Anemia salvadorensis Mickel & R.L.Seiler,Anemia salvadorensis Mickel & Seiler,accepted,TRUE,4,1,0,0,NA,NA,NCBI,author variant,NA
Angiopteris rapensis E.Brown,Angiopteris rapensis E. D. Br.,accepted,TRUE,7,1,0,0,NA,NA,NCBI,author variant,NA
